Speaker_ID;Top_Right_X;Top_Right_Y;Top_Right_Z;Top_Left_X;Top_Left_Y;Top_Left_Z;Bottom_Right_X;Bottom_Right_Y;Bottom_Right_Z;Bottom_Left_X;Bottom_Left_Y;Bottom_Left_Z;Center_X;Center_Y;Center_Z;C1_r0;C1_r1;C1_r2;C2_r3;C2_r4;C2_r5;C3_r6;C3_r7;C3_r8
1;2915;-1014;6020;3108;-1015;6020;3110;-1300;6020;2917;-1298;6020;3011;-1156;6020;-0.999946311607392;0.010362137944118;0;-0.00701737107332272;0.999975377948487;0;0;0;-1
2;3114;1247;6021;2920;1246;6021;2917;1530;6021;3110;1531;6021;3016;1388;6021;0.999986577091121;0.0051812776015084;0;0.0105627909735981;-0.999944212167283;0;0;0;-1
3;978;-2430;6023;1170;-2428;6023;1175;-2714;6023;980;-2712;6023;1075;-2572;6023;-0.999947407173625;0.0102558708428064;0;-0.0174798464302952;0.999847215812883;0;0;0;-1
4;951;288;6025;1145;287;6025;1146;2;6025;953;4;6025;1048;145;6025;-0.999946311607392;0.010362137944118;0;-0.00350875033093548;0.999993844316611;0;0;0;-1
5;1177;2311;6025;983;2311;6025;982;2597;6025;1175;2595;6025;1080;2454;6025;0.999946311607392;-0.010362137944118;0;0.00349648212338356;-0.999993887287698;0;0;0;-1
6;-899;-1237;6021;-706;-1236;6021;-701;-1521;6021;-894;-1521;6021;-801;-1379;6021;-1;0;0;-0.0175411603861406;0.999846142010013;0;0;0;-1
7;-680;1074;6017;-873;1077;6017;-871;1362;6017;-678;1358;6017;-775;1217;6017;0.999785298298698;-0.0207209388248435;0;-0.00701737107332272;-0.999975377948487;0;0;0;-1
8;-2836;-2445;6015;-2641;-2443;6015;-2638;-2728;6015;-2832;-2729;6015;-2739;-2587;6015;-0.999986715112223;-0.00515457069645476;0;-0.0105257326625425;0.999944602941541;0;0;0;-1
9;-2835;56;6021;-2641;56;6021;-2639;-228;6021;-2832;-228;6021;-2737;-86;6021;-1;0;0;-0.00704207890320385;0.999975204254946;0;0;0;-1
10;-2644;2278;6024;-2837;2278;6024;-2838;2564;6024;-2645;2561;6024;-2740;2420;6024;0.999879213275362;-0.0155421639369227;0;0.00349648212338356;-0.999993887287698;0;0;0;-1
11;3017;-4316;3794;3017;-4223;3964;3301;-4227;3966;3301;-4323;3796;3158;-4271;3878;0;-0.491719661409982;-0.870753567080177;-0.999876039716398;0.0140827611227662;-0.00704138056138309;0.0157250046975952;0.87064590229346;-0.491658862471601
12;1078;-4321;3777;1073;-4230;3948;1357;-4228;3955;1363;-4322;3785;1217;-4274;3865;0.0308721062240477;-0.483662997510081;-0.874709676348018;-0.9996716059927;-0.00703994088727254;-0.0246397931054539;0.00575955216993448;0.875198364640169;-0.48372993507739
13;-730;-4316;3775;-730;-4227;3946;-445;-4220;3942;-445;-4312;3770;-588;-4267;3857;0;-0.471652250337161;-0.881784641934692;-0.99960011687292;-0.0245515818179314;0.0140294753245322;-0.0282662502366851;0.881432306998921;-0.471463792115702
14;-2719;-4328;3775;-2716;-4236;3944;-2431;-4229;3938;-2434;-4325;3768;-2576;-4278;3855;-0.0153644255919475;-0.491661618942321;-0.870650783543693;-0.999477172389721;-0.0245485621288703;0.0210416246818889;-0.0317198992514474;0.870554969942895;-0.491047749510374
15;-4743;-1883;3832;-4656;-1882;4004;-4667;-2173;4010;-4754;-2175;3836;-4698;-2024;3918;-0.44718996341394;-0.0102802290439986;-0.894379926827879;0.0377656943803998;0.999074278608757;-0.0205994696620362;0.893797849724056;-0.042990395330881;-0.44640478238696
16;-4736;277;3828;-4647;279;4000;-4650;-5;4005;-4733;-6;3831;-4691;137;3915;-0.430531746668483;-0.00518712947793353;-0.902560529160435;0.0105611545240284;0.999789294941359;-0.0176019242067141;0.902478747107019;-0.0171105923805523;-0.430394398951161
17;-4717;2357;3836;-4629;2356;4008;-4630;2073;4009;-4719;2073;3837;-4672;2216;3921;-0.459563387211983;0;-0.888144973038889;0.00353352478489274;0.999987514124646;-0.00353352478489274;0.888134902204521;-0.00476216635457679;-0.459558176140711
18;-2419;4376;3731;-2414;4289;3903;-2697;4278;3908;-2703;4368;3736;-2557;4327;3819;-0.030893378713833;0.463400680707495;-0.885610189796546;0.999089758348002;0.0388338775329612;-0.0176517625149824;0.0262119389384136;-0.885352772492632;-0.464180355569577
19;-402;4370;3734;-403;4277;3905;-688;4286;3906;-687;4377;3734;-545;4327;3819;0.00513896056123448;0.467645411072338;-0.883901216532331;0.999495611170264;-0.0315630193001136;-0.00350700214445707;-0.0295392532735057;-0.883456166085404;-0.467581688180496
20;1336;4371;3743;1340;4283;3915;1056;4275;3918;1051;4366;3746;1197;4323;3830;-0.0256866638123647;0.467497281385038;-0.883621235145347;0.999547767777321;0.0281562751486569;-0.0105586031807463;0.0199434653234741;-0.883497321940991;-0.468011474553765
21;3305;4355;3754;3302;4265;3925;3019;4266;3921;3021;4358;3750;3163;4310;3836;0.0102992947670617;0.47376755928484;-0.880589702583778;0.999893884964761;-0.00353319393980481;0.0141327757592192;0.00358438264136478;-0.880648244795416;-0.473757133075412
22;4629;2057;3785;4546;2058;3960;4533;2342;3953;4617;2341;3777;4580;2199;3868;0.430723923600662;-0.00512766575715074;-0.90246917325853;0.045712912305068;-0.998651314972254;0.0246146450873443;-0.901381280597937;-0.05185678548138;-0.429910061276962
23;4637;-212;3782;4551;-215;3955;4549;69;3961;4635;73;3786;4592;-72;3870;0.440956067647542;0.0205095845417461;-0.897294323701394;0.00704050792619596;-0.999752125519827;-0.0211215237785879;-0.897506182315305;0.00299625987982344;-0.440991695083411
24;4640;-2228;3799;4554;-2222;3972;4560;-1937;3967;4649;-1943;3793;4600;-2083;3882;0.455167052857932;-0.0306854192937932;-0.889877159520003;-0.021044730762408;-0.999624711214378;0.01753727563534;-0.890094746314583;0.0107449970383401;-0.455648864392115
25;3388;-4356;2027;3537;-4229;2018;3533;-4250;1734;3383;-4373;1745;3459;-4300;1882;-0.772027518982468;-0.633062565565624;0.0566153513920477;0.0140447741294465;0.0737350641795942;0.997178963190702;-0.635451570535221;0.770645188803684;-0.0480343052209031
26;2348;-4332;2049;2517;-4239;2043;2517;-4254;1759;2347;-4350;1764;2431;-4292;1904;-0.870468147092347;-0.491558483063913;0.0256020043262455;0;0.0527433855078337;0.998608098948317;-0.492224650590381;0.869256597918856;-0.0459114400309255
